,User,Profile Picture,Email Address,Phone Number,Communication History,Company Name,Industry,Deal Stage,Deal Value,Win/Loss Status,Upcoming Tasks,Activity Status,Lead Source,Location,Custom Visuals,Creation Date,Last Updated,User Activity
98,Nicholas Valdez,https://dummyimage.com/625x375,xheath@example.net,239-602-7784x07527,Hit yard own finally city sometimes. Cause energy table event attack maintain.,White Inc,Finance,Opportunity,40376,Won,1/11/2024,Ongoing,Yahoo,Guadeloupe,7,1/9/2022,12/8/2023,26
99,Albert Rogers,https://placekitten.com/512/525,xlevy@example.net,204.335.3816x59186,Result garden admit coach environmental look property. Evening could create war. Foot defense race concern whether.,"Parker, Lin and Edwards",Retail,Opportunity,65935,Lost,1/3/2024,Ongoing,Yahoo,British Indian Ocean Territory (Chagos Archipelago),10,5/30/2021,12/21/2023,54
100,Jimmy Jackson,https://placekitten.com/104/698,franciscowashington@example.com,(469)930-3812,Type check because fill blood seven charge detail. Him behavior interview foot why yard. Dog stand check mean Congress night design.,Green-Riley,Technology,Proposal,22378,Won,12/31/2023,Completed,Google,Saint Helena,4,3/28/2022,12/13/2023,62
101,Elizabeth Ponce,https://placekitten.com/427/1,ecooper@example.com,(897)538-3461x753,Father low scene yet shake everyone space. Ok three alone drug story against series. End dream consumer modern. Fly low skill pay Democrat party born.,"Flynn, Rubio and Johnson",Technology,Lead,93822,Won,1/24/2024,Completed,Yahoo,Saint Pierre and Miquelon,4,9/2/2023,12/7/2023,43
102,Ebony Harmon,https://picsum.photos/581/832,ashleyhuffman@example.net,2206523852,Yet improve simple look sing. Him reflect whom lot crime professional red set. Stock number organization consumer.,Andrews Inc,Finance,Proposal,44851,Lost,1/8/2024,Completed,Yahoo,Papua New Guinea,3,5/31/2020,12/11/2023,4
103,Mark Smith,https://dummyimage.com/845x695,karellano@example.com,(457)391-7441,Sometimes just church seem bit lead. Degree peace policy enjoy discussion including. Place fire generation step administration success receive.,Cummings PLC,Finance,Closed Deal,99187,Won,1/24/2024,Completed,Google,Gibraltar,2,3/14/2022,12/17/2023,27
104,Pamela Kline,https://picsum.photos/68/691,bhancock@example.org,(352)750-9571,Unit build almost vote. Adult section generation think.,"Grimes, Gonzalez and Ward",Technology,Opportunity,50903,Lost,1/6/2024,Ongoing,Website,Netherlands Antilles,5,7/13/2020,12/2/2023,90
105,Max Bush,https://placekitten.com/825/886,fostertimothy@example.com,974-749-7065,Indicate building almost agree purpose of thank team.,Smith-Fitzpatrick,Retail,Lead,16703,Lost,1/23/2024,Ongoing,Yahoo,Bouvet Island (Bouvetoya),6,9/29/2021,12/16/2023,88
106,Stephanie Underwood,https://placekitten.com/452/186,wilsonandrea@example.net,315.949.4196,Event on partner none health project bit magazine. Know charge yeah class expect.,Scott-Fernandez,Retail,Lead,70934,Lost,1/12/2024,Completed,Facebook,Christmas Island,4,3/19/2023,12/9/2023,74
107,James Neal,https://picsum.photos/371/521,sheena09@example.net,212-563-4847x1291,Step improve newspaper population. Staff modern card role.,Mccoy-Lee,Finance,Closed Deal,94299,Won,12/30/2023,Completed,Other,South Georgia and the South Sandwich Islands,4,3/24/2020,12/21/2023,93
108,Alicia Gates,https://dummyimage.com/926x227,icooper@example.net,-8578,Important necessary fear simply past between try address. Everyone offer sea think think itself thing. Kid around news suddenly nation point research every.,Reed Group,Technology,Lead,7917,Won,1/21/2024,Completed,X,Falkland Islands (Malvinas),2,4/14/2021,12/28/2023,100
109,Wanda Brown,https://picsum.photos/475/944,joshuasteele@example.org,-7704,Growth your no rock bar area under agency. Open bring foreign involve though. Which price hot good eight oil so. Bill catch citizen sometimes commercial case science try.,"Wade, Ayala and Baker",Retail,Proposal,52494,Lost,1/15/2024,Ongoing,Google,Gabon,9,4/21/2022,12/16/2023,84
110,Tanya Lynch,https://dummyimage.com/530x520,robert16@example.org,767.849.5308,Agency natural agree place return capital. Live under some third.,"Wolfe, Hernandez and Crawford",Technology,Opportunity,86616,Won,1/5/2024,Completed,Facebook,Serbia,6,6/6/2021,12/24/2023,79
111,Jared Wilkinson,https://dummyimage.com/815x295,nzimmerman@example.org,001-463-280-2826x6009,Happy PM foot tree mention different senior. Really watch modern.,"Acosta, Allen and Estes",Healthcare,Lead,64697,Won,1/5/2024,Completed,Facebook,Kazakhstan,3,9/22/2021,12/20/2023,67
112,Daniel Massey,https://picsum.photos/344/17,julia46@example.net,492.765.4210x9827,Despite ready better customer throw suddenly. Pass claim about anyone task others collection. Live few customer continue.,Kim and Sons,Retail,Lead,85616,Won,1/17/2024,Ongoing,Instagram,Maldives,6,8/24/2023,12/28/2023,43
113,Joshua Bell,https://dummyimage.com/465x138,melaniefowler@example.org,001-410-511-9203x7317,Understand own board federal tree on picture. Anyone pass similar between or learn. Program former industry feel major happy.,Johnson-Roberson,Retail,Opportunity,9735,Lost,1/16/2024,Completed,Other,Palau,7,2/25/2022,12/17/2023,100
114,Mary Garcia,https://dummyimage.com/108x173,nestes@example.org,+1-647-944-8849x8894,At dream recently environment. Security evidence memory popular cover. Response free position institution mention bad.,"Taylor, Henderson and Medina",Retail,Lead,3564,Lost,1/2/2024,Ongoing,Facebook,Jamaica,4,1/3/2020,12/19/2023,63
115,Courtney Pineda,https://dummyimage.com/196x81,elijah17@example.net,714-390-4664x98793,Station officer plan talk herself card. Education add me movement arrive.,"Ross, Garcia and Lewis",Healthcare,Proposal,77895,Won,1/2/2024,Completed,Instagram,Palau,7,3/1/2022,12/3/2023,70
116,Donald Rose,https://dummyimage.com/610x846,ithompson@example.org,575-207-0657x7196,Total top appear play. Shoulder from peace stage almost another.,Pittman-Smith,Retail,Closed Deal,79167,Won,1/2/2024,Completed,Facebook,Tajikistan,10,3/20/2023,12/6/2023,5
117,Cynthia Snow,https://dummyimage.com/627x859,cindy58@example.net,(258)897-3989x4602,Reach out speak try ready everything. Source look indicate magazine child play. Blood both rest.,"Sanchez, Vaughan and Davis",Technology,Proposal,71655,Lost,1/22/2024,Ongoing,Other,Norway,2,6/6/2021,12/17/2023,25
118,Shirley Sanchez,https://picsum.photos/42/647,lindapennington@example.net,+1-836-676-8348x120,Nature cover again page list reality. Beautiful investment it live watch guess. Civil far step young.,Kelley Inc,Retail,Lead,8546,Won,1/17/2024,Ongoing,X,Lao People's Democratic Republic,10,4/18/2021,12/25/2023,53
119,Tami Jefferson,https://placekitten.com/721/106,gallaghermaurice@example.org,(231)271-8907x1797,Government identify organization. System against from writer product down interest. Sit night set thus trade. Third fly young design hear.,Liu and Sons,Retail,Closed Deal,27277,Won,1/26/2024,Ongoing,Other,Christmas Island,8,6/13/2021,12/15/2023,80
120,Debra Perkins,https://dummyimage.com/864x658,bmiranda@example.com,001-898-982-2463x823,Matter record pick word. Major doctor mother pass. Amount power some soldier itself sport.,"Cherry, Jones and Crawford",Retail,Lead,7162,Lost,1/1/2024,Completed,Yahoo,Uzbekistan,5,2/22/2023,12/7/2023,71
121,Brendan Hopkins,https://picsum.photos/842/218,palmerjason@example.org,438-352-5047x370,Accept relate start road. Measure which term. Small article more rather kitchen.,"Guerrero, Dalton and Conner",Finance,Closed Deal,87461,Won,1/19/2024,Ongoing,Google,Madagascar,2,4/7/2022,12/3/2023,22
122,Sara Roberts,https://dummyimage.com/338x177,thomas42@example.net,001-360-680-3920x3337,Such especially I radio for north call. In happy issue campaign fill. Foreign dinner begin blue such mind.,Paul-Miller,Retail,Closed Deal,1289,Won,1/11/2024,Completed,Other,Ethiopia,6,3/21/2022,12/5/2023,74
123,Anita Rodriguez,https://picsum.photos/465/113,kathleen84@example.org,676-979-1642x2455,List north during concern end. Hour interview point true.,Kaiser Group,Retail,Lead,91886,Won,1/12/2024,Completed,Instagram,Mongolia,5,6/8/2023,12/14/2023,96
124,Roger Nixon,https://dummyimage.com/967x973,wbradford@example.net,(687)485-7515x79766,Parent where tough despite. Glass computer knowledge family main yes.,Soto-Turner,Healthcare,Opportunity,51504,Won,1/13/2024,Ongoing,Website,United States Virgin Islands,10,3/6/2023,12/24/2023,58
125,David Gibson,https://placekitten.com/47/188,mmichael@example.net,(766)849-0353x32664,Mrs sense hope over enough serious way. Each prepare yes many. Individual available space.,"Daniel, Houston and Mcgrath",Technology,Opportunity,8941,Lost,1/6/2024,Completed,Facebook,Wallis and Futuna,9,4/22/2020,12/25/2023,48
126,Sarah Taylor,https://placekitten.com/399/653,vazquezmariah@example.net,432.456.9080,Here thank involve administration. Glass idea you goal direction.,"Mason, Davis and Newman",Healthcare,Lead,14894,Lost,1/14/2024,Completed,X,China,9,8/2/2022,12/27/2023,61
127,Joseph Sheppard,https://placekitten.com/164/421,jason41@example.com,-9065,Reveal PM believe if court much space. Recent table particular record economy. Sense hand boy industry.,"Hayes, Bailey and Phelps",Retail,Lead,95241,Won,1/17/2024,Completed,X,Western Sahara,6,7/12/2020,12/10/2023,16
128,Erin Sharp,https://placekitten.com/684/608,muellerrebecca@example.org,+1-679-966-9299x143,Strategy use marriage medical her exactly. Across how compare large.,Kelley-Rivera,Technology,Lead,15834,Won,1/1/2024,Completed,Instagram,Palau,6,7/3/2020,12/3/2023,43
129,Sylvia Lang,https://dummyimage.com/512x582,schultzjames@example.org,381.772.8151,Station region special hundred occur pick.,Phillips PLC,Technology,Lead,18902,Lost,1/2/2024,Completed,Google,Hong Kong,5,2/4/2023,12/28/2023,14
130,Bryan Walker,https://picsum.photos/737/113,bryan48@example.com,907.275.7772x76202,Today Mr economic produce ago. Finish have foreign.,"Mcguire, Young and Stanley",Retail,Lead,13698,Lost,12/30/2023,Ongoing,Website,Saint Barthelemy,10,10/7/2020,12/8/2023,25
131,Victoria Lozano,https://dummyimage.com/595x284,gknight@example.org,-6799,Leave its nature source. Space recognize head direction really program attention really.,"Charles, Jones and English",Retail,Lead,34146,Won,1/14/2024,Completed,Facebook,Burundi,7,3/7/2021,12/25/2023,26
132,Sarah Lane,https://picsum.photos/6/235,ftownsend@example.org,525-806-1404x982,Less tree industry experience matter. Manager performance something certain assume more. Control hit student growth prove. Listen firm rock relate degree.,"Spears, Kim and Ellis",Finance,Lead,46842,Won,1/16/2024,Completed,Facebook,Oman,6,10/14/2020,12/11/2023,58
133,Derrick Shaw,https://dummyimage.com/698x31,amygraham@example.net,618.696.2866,Inside increase hair few five born. Fire which important that seat today guy. Poor reality fall support several.,"Payne, Lawson and Scott",Technology,Proposal,11008,Lost,1/12/2024,Ongoing,Other,Kenya,8,3/22/2020,12/28/2023,72
134,Peter Hill,https://placekitten.com/1022/827,christopherthomas@example.org,001-805-544-3542x331,Dream exactly former how hand until station car. Just foot rock fine eye big. Town most director forward never. She source that right really across.,Tran-Cannon,Retail,Lead,14439,Won,1/21/2024,Ongoing,Instagram,Micronesia,7,12/16/2023,12/19/2023,44
135,Christine Thomas,https://placekitten.com/43/894,kentsarah@example.org,668-898-8370x191,Be wide long lawyer machine suffer strong. Various because own institution population church.,"Cochran, Thomas and Rodriguez",Finance,Proposal,3176,Won,1/7/2024,Ongoing,Yahoo,Antarctica (the territory South of 60 deg S),7,1/8/2023,12/5/2023,59
136,Colleen Bush,https://dummyimage.com/89x198,holtnatalie@example.org,+1-725-268-9649x175,Among end onto magazine. Heavy particular debate purpose.,Martinez-Bass,Technology,Proposal,99366,Won,1/27/2024,Ongoing,Website,Serbia,3,7/6/2023,12/4/2023,96
137,Ashley Juarez,https://picsum.photos/871/352,whensley@example.com,(490)513-9567,Board less respond huge career decide still. Sell daughter story cultural ready woman.,Padilla-Price,Finance,Proposal,30485,Won,1/6/2024,Completed,Website,Ghana,6,9/22/2023,12/26/2023,28
138,Alyssa Martin,https://dummyimage.com/670x874,mhenderson@example.com,001-777-365-9236x819,Teach real coach Mr behavior live help until. My suffer statement table.,Walls-Wade,Retail,Closed Deal,23942,Lost,1/25/2024,Ongoing,Yahoo,Fiji,5,11/2/2021,12/15/2023,79
139,Mary Williams,https://placekitten.com/979/233,mark59@example.org,204-649-0207x6272,Especially able both what shoulder. Something may second best bar.,Moran Ltd,Finance,Proposal,78580,Won,1/11/2024,Ongoing,Other,Guatemala,2,5/3/2023,12/11/2023,80
140,Victoria Potter,https://placekitten.com/519/411,andrewfrye@example.org,490.230.1343x7891,Thing course affect happy no worker together. Unit run out every significant.,Ramsey-Patrick,Technology,Closed Deal,23722,Lost,1/26/2024,Ongoing,X,Benin,7,4/12/2020,12/1/2023,92
141,Ray Reynolds,https://dummyimage.com/282x484,vrichards@example.com,+1-840-581-0257x59125,However responsibility whole paper matter. Physical trouble bed five tax land.,"Cabrera, Allen and Mccoy",Finance,Lead,13179,Won,1/18/2024,Ongoing,Google,Vanuatu,6,11/4/2022,12/11/2023,99
142,Whitney Schmidt,https://dummyimage.com/534x35,timothyfox@example.org,+1-388-652-0155x585,Push her special many north. Form a visit medical traditional.,Bates LLC,Healthcare,Closed Deal,62757,Won,1/12/2024,Completed,Website,Denmark,1,12/6/2021,12/27/2023,11
143,Lisa Martinez,https://picsum.photos/839/880,monique81@example.net,001-814-997-2307x8781,Civil her real hand when. Prevent husband take same focus value measure. Chance sing mention weight individual the center toward.,Burch Ltd,Finance,Closed Deal,26270,Lost,1/2/2024,Ongoing,Facebook,Nigeria,8,1/18/2021,12/4/2023,12
144,Barbara Williams,https://placekitten.com/739/874,perkinskevin@example.net,312.608.4265x0556,Writer before world improve. Continue political gas short assume team clear. Table today couple best fish reflect phone.,Ellis-Massey,Technology,Lead,67459,Lost,1/7/2024,Completed,Instagram,Mauritius,3,1/9/2020,12/12/2023,68
145,Mr. Joseph Brown DVM,https://picsum.photos/913/622,eric54@example.net,362.915.3165,I voice ten TV oil race.,"Goodwin, Smith and Weaver",Healthcare,Opportunity,24903,Lost,1/13/2024,Ongoing,Other,Singapore,6,3/31/2020,12/22/2023,68
146,Brian Martin,https://placekitten.com/549/626,qwu@example.org,-7774,Certainly stand western industry. Although see college sort thought feel. Deal floor tonight officer rest. Their finally film poor building.,Fisher LLC,Technology,Opportunity,56189,Lost,1/2/2024,Completed,Website,Germany,7,11/17/2022,12/1/2023,50
147,Cathy Bryant,https://picsum.photos/719/897,jacobsondavid@example.org,+1-599-550-7048x56708,Probably short throughout produce suddenly evening. There present room strong push.,Chapman LLC,Finance,Proposal,52974,Won,12/30/2023,Completed,Instagram,Barbados,7,11/18/2022,12/6/2023,59
148,Don Wu,https://dummyimage.com/499x515,johnsonamy@example.com,273-230-1313x737,Born huge major would. Style and black cultural. Low value instead above interesting.,Jefferson-Mckay,Healthcare,Closed Deal,86676,Won,12/31/2023,Ongoing,Other,India,7,8/28/2022,12/25/2023,11
149,Sarah Doyle MD,https://dummyimage.com/526x351,theresa00@example.com,+1-966-673-2877x05417,Have cover want read clear news. Surface behind home at same worry to everything. Measure company partner sometimes room exactly.,Wright LLC,Healthcare,Opportunity,27551,Lost,1/7/2024,Completed,Website,British Virgin Islands,5,7/25/2023,12/8/2023,62
150,Tyler Colon,https://picsum.photos/974/327,clewis@example.net,207-910-1698x75400,Hot fly civil reality although just by total. Democrat risk per almost Democrat send.,Pearson-Patterson,Technology,Opportunity,62740,Lost,1/4/2024,Completed,Google,Macao,5,10/2/2022,12/7/2023,47
151,Dr. Jason Moody MD,https://placekitten.com/359/310,johnsonangela@example.net,723-308-0251x505,Most black west article avoid next draw. Real structure former baby.,Gonzales-Johnson,Finance,Closed Deal,89862,Lost,1/3/2024,Completed,Google,Uruguay,8,6/1/2023,12/8/2023,45
152,Christine Tran,https://picsum.photos/207/356,sanchezshawn@example.org,001-732-957-9367x871,Foreign college not reality yes PM. Become single kitchen. There chair source wrong business peace enough.,Sparks LLC,Healthcare,Lead,18901,Lost,1/18/2024,Ongoing,Instagram,Nauru,6,12/23/2020,12/7/2023,83
153,Monica Clay,https://dummyimage.com/930x84,andrew64@example.net,(936)597-5417,Special large federal its technology indeed. Most charge commercial responsibility beautiful. Final pass tree.,Perez-Johnson,Retail,Proposal,97135,Lost,1/11/2024,Completed,Google,Greenland,9,12/15/2022,12/26/2023,11
154,Anthony Baxter,https://picsum.photos/232/684,hharris@example.com,+1-519-501-8299x26954,Service statement admit place bring. Join win free suggest sound economic.,"Benson, Chen and Johnston",Technology,Closed Deal,80496,Won,12/31/2023,Ongoing,Yahoo,Argentina,1,4/20/2023,12/13/2023,82
155,Phillip Anderson,https://placekitten.com/217/882,briannahenderson@example.net,886.498.8377x3892,Defense campaign mind he offer full newspaper. Successful yard check large he. Only budget soldier everybody defense.,"Harvey, Perry and Norman",Healthcare,Proposal,44890,Lost,1/14/2024,Completed,Facebook,Afghanistan,8,3/1/2023,12/13/2023,93
156,Christina Hoover,https://dummyimage.com/226x442,earmstrong@example.org,001-486-424-8099x29373,Citizen who represent down science from. Matter own course few surface until doctor. Newspaper candidate between guy hospital job also.,King-Walsh,Retail,Proposal,59384,Lost,1/20/2024,Ongoing,X,Bosnia and Herzegovina,10,9/19/2022,12/5/2023,19
157,Melissa Adams,https://picsum.photos/279/867,barberdavid@example.com,6536903680,Order them nor statement suggest. Source produce full already make where article.,Rogers PLC,Finance,Proposal,64668,Lost,1/1/2024,Completed,Instagram,Guadeloupe,3,8/14/2022,12/25/2023,53
158,Patricia Johnson,https://dummyimage.com/564x353,nicole93@example.org,(816)421-0934,Marriage stand effect. Real tax special read.,Johnson-Hernandez,Retail,Opportunity,33524,Lost,1/20/2024,Completed,Other,Switzerland,3,6/10/2022,12/23/2023,58
159,Stephanie Taylor,https://dummyimage.com/685x709,conleynicholas@example.net,+1-949-793-6901x847,Reality soon individual that suddenly about all. Tell left fine.,"Bond, Miller and Tapia",Retail,Proposal,65681,Lost,1/3/2024,Ongoing,Instagram,Cape Verde,1,1/9/2023,12/27/2023,19
160,Bryan Faulkner,https://placekitten.com/624/994,pamelamiller@example.net,356.676.4303,Exist figure carry base.,Jensen and Sons,Technology,Lead,37885,Lost,1/2/2024,Completed,Facebook,Belarus,4,11/22/2021,12/18/2023,99
161,Kristen Stewart,https://placekitten.com/208/173,tamarahernandez@example.net,270-725-3618x44189,Single for middle style. Senior song yeah certain human both public. Step certain role study street hotel onto.,"Martin, Shields and Arnold",Finance,Closed Deal,37042,Won,1/11/2024,Ongoing,X,El Salvador,6,5/28/2020,12/18/2023,38
162,Kathryn Graves,https://dummyimage.com/317x546,danielle55@example.com,+1-532-484-3868x4674,Cause box drop suggest party. Meeting fall fear public.,"White, Espinoza and Bishop",Technology,Proposal,60250,Won,1/14/2024,Ongoing,X,Puerto Rico,4,7/4/2021,12/17/2023,7
163,Tyler Singleton,https://dummyimage.com/179x573,raymond95@example.com,(796)941-9926,Finally interview direction onto subject million including. Trade because candidate fund follow. Strong least operation nice candidate suddenly.,"Foley, Garcia and Pugh",Healthcare,Lead,42449,Lost,1/25/2024,Completed,Facebook,Albania,2,8/2/2020,12/3/2023,96
164,Victoria Stephens,https://dummyimage.com/266x346,conniejones@example.com,(608)933-0320,Response fast travel see central. Sit yeah manage seek. Police how now receive father place.,Arnold-Clark,Technology,Proposal,26195,Won,1/23/2024,Ongoing,Website,United Kingdom,9,5/29/2020,12/23/2023,67
165,Samantha Smith,https://dummyimage.com/434x893,mbowers@example.org,305-249-2304,Door significant hear case nice. Ten environmental product enter brother yes man.,Simpson-Harrington,Healthcare,Proposal,72336,Lost,1/15/2024,Ongoing,Yahoo,Ukraine,1,10/8/2022,12/23/2023,49
166,Mark Norris,https://placekitten.com/426/53,amandabailey@example.org,534-217-2033x835,Leg medical local force too energy eight. Wait end into these value news.,Roberts PLC,Retail,Lead,86971,Won,12/30/2023,Ongoing,Google,Norfolk Island,1,1/9/2020,12/27/2023,32
167,Chad Lee,https://placekitten.com/950/890,joshua07@example.com,001-854-338-2461x7818,State long deal able. Trade easy week everybody huge suddenly. Attention positive budget wonder increase explain seem.,Perry Ltd,Retail,Closed Deal,76615,Won,1/26/2024,Completed,Facebook,Vietnam,9,3/6/2021,12/5/2023,29
168,Kyle Sanchez,https://picsum.photos/102/188,victoriawalker@example.com,544-901-6119,Thank everything fire perform house recently military. Tv daughter value Mrs suffer threat.,Delgado Group,Retail,Proposal,61843,Won,1/4/2024,Ongoing,X,United States of America,10,12/21/2022,12/8/2023,33
169,Brittany Norman,https://placekitten.com/196/257,stephensamber@example.com,001-879-678-5415x48241,Expect plan pull camera according. Anyone result teach that model pick keep. Participant reason artist drive senior.,Shepherd Inc,Technology,Closed Deal,18073,Won,1/1/2024,Ongoing,Yahoo,Libyan Arab Jamahiriya,9,9/22/2023,12/11/2023,36
170,Kenneth Quinn,https://placekitten.com/754/246,ebony61@example.com,(945)876-4129,Face message significant whatever deal science success physical. Town truth walk weight themselves ten central. Speak fall speak decide. Glass sing cultural certainly race remain.,Carter Group,Retail,Opportunity,20022,Lost,1/24/2024,Completed,Google,Saint Kitts and Nevis,5,3/28/2022,12/1/2023,
171,Isaiah Fisher,https://placekitten.com/959/803,brandonweber@example.net,001-357-659-2931x3841,Brother resource minute rather. Nice amount during. Arrive message them three certainly consider area. Evening book doctor small general red between.,Reilly Ltd,Retail,Closed Deal,10171,Lost,1/14/2024,Ongoing,Website,Mauritius,2,2/4/2021,12/13/2023,29
172,Mark Bowers,https://placekitten.com/750/138,nmann@example.com,(267)524-1313x4455,Cultural house impact adult here pay personal wonder. Car vote his. Baby cover three think onto deep.,Mitchell Inc,Technology,Proposal,75443,Won,1/16/2024,Ongoing,Website,Falkland Islands (Malvinas),2,9/22/2023,12/22/2023,
173,Dawn Abbott,https://dummyimage.com/137x955,alexandra05@example.com,+1-219-240-6498x86034,Take it left yourself. Economy whom point. Sell after half including.,"Sheppard, Smith and Benjamin",Finance,Lead,90964,Won,1/4/2024,Ongoing,Google,United States Virgin Islands,1,10/13/2023,12/17/2023,
174,Amanda Pope,https://picsum.photos/748/231,courtney67@example.org,-4889,Some quickly if which suddenly song test. Right how car grow level increase. Message own first military.,Meyer-Perez,Retail,Lead,68159,Won,1/19/2024,Ongoing,Google,Saint Martin,8,11/30/2021,12/18/2023,
175,Elizabeth Morgan,https://dummyimage.com/599x600,wisetammy@example.net,9075470493,Mrs charge any sure. Sister focus peace oil. Avoid play check first PM.,"Benitez, Fisher and Adams",Finance,Proposal,71125,Won,1/4/2024,Ongoing,Instagram,North Macedonia,3,2/9/2020,12/22/2023,
176,Cheryl Orr,https://picsum.photos/68/924,zcrane@example.org,(600)223-7331,Late vote bed compare collection cup lot.,"Forbes, Butler and Young",Finance,Opportunity,66183,Won,1/1/2024,Ongoing,X,French Polynesia,1,7/19/2023,12/12/2023,
177,Maria Rodriguez,https://placekitten.com/851/808,carrillosandra@example.net,001-947-666-5681,Order medical while. Society many pay history southern fast make. Four knowledge during PM material.,Hamilton-Jenkins,Finance,Lead,10506,Lost,1/14/2024,Ongoing,Facebook,Singapore,3,10/26/2023,12/25/2023,99
178,Gary Barton,https://dummyimage.com/574x766,williamsclayton@example.com,001-801-286-2588x58389,It across education information to TV successful. Century before four public television threat. Daughter summer sport.,"Nelson, Wright and Mercer",Healthcare,Closed Deal,69434,Won,12/30/2023,Completed,Instagram,Kazakhstan,2,3/7/2021,12/9/2023,74
179,William Villanueva,https://placekitten.com/691/207,angela34@example.com,(288)330-7441x596,Throughout smile military. Rule indicate game cell by next. East management food. Sure human at miss benefit activity.,Johns Group,Retail,Lead,80415,Won,1/5/2024,Completed,Website,Andorra,4,11/10/2023,12/14/2023,24
180,Jeffrey Gray,https://picsum.photos/889/965,johnnyparker@example.org,+1-829-223-1650x5634,Vote teach outside group. He especially nice although. Local turn role situation resource safe director.,Hall-West,Healthcare,Lead,59650,Lost,1/3/2024,Ongoing,Instagram,Eritrea,6,11/16/2022,12/12/2023,25
181,Mr. Ryan Nguyen,https://picsum.photos/491/480,tina34@example.org,001-592-271-4480x6221,Production result care control under.,Jordan-Myers,Healthcare,Lead,23107,Lost,1/9/2024,Completed,Google,Kuwait,1,12/8/2023,12/3/2023,50
182,Julie Stanton,https://picsum.photos/354/593,trevor20@example.org,641-242-4239,Population management section trip forward tree. Defense own add agency plan north good. Significant clearly type by compare. Watch third research on.,"Gardner, Gilmore and Wagner",Healthcare,Opportunity,89977,Lost,1/7/2024,Completed,Yahoo,Ghana,4,5/9/2021,12/8/2023,60
183,Madison Martinez,https://picsum.photos/333/512,timothyhart@example.org,646.446.3012x1033,Share follow among already nothing bit. City Mr very technology line hospital middle four.,"Murphy, Butler and Rivas",Finance,Opportunity,67832,Lost,1/10/2024,Ongoing,Other,Samoa,5,2/10/2022,12/17/2023,64
184,Christina Davis,https://picsum.photos/311/172,morenorachael@example.net,-4363,Show response moment learn among.,Jackson-Thomas,Retail,Proposal,52370,Won,1/6/2024,Ongoing,Website,Western Sahara,6,5/20/2022,12/23/2023,14
185,Alexander Montgomery,https://dummyimage.com/812x363,grantjacqueline@example.org,+1-275-971-6240x18785,Employee none peace class.,Herman-Levy,Healthcare,Closed Deal,4796,Lost,1/13/2024,Ongoing,Yahoo,Holy See (Vatican City State),1,9/3/2021,12/2/2023,56
186,Christopher Mclaughlin,https://dummyimage.com/843x981,rachelbush@example.com,001-364-753-7782x67868,Book issue rock author single her join. Stage attention four yet time when price.,"Miller, Kelley and Costa",Finance,Opportunity,91971,Lost,1/16/2024,Completed,Yahoo,Trinidad and Tobago,1,11/11/2021,12/23/2023,19
187,Michael Davis,https://picsum.photos/857/157,isaac43@example.org,(210)701-1060x7367,Man event cup manage. Off fear happen follow. Energy peace suggest machine computer throw speak arrive.,Anderson PLC,Retail,Proposal,80900,Won,1/14/2024,Completed,Instagram,Kuwait,8,5/30/2022,12/17/2023,86
188,Eddie Hernandez,https://dummyimage.com/312x41,kpeterson@example.net,001-671-591-9530x90046,Answer smile walk share bar. Professional rich note whose. Executive hospital others full.,Carter Ltd,Finance,Closed Deal,67259,Won,1/13/2024,Ongoing,Google,Kenya,8,11/4/2020,12/8/2023,75
189,Jimmy Padilla,https://picsum.photos/337/807,ricedana@example.net,+1-889-871-6276x05216,Behind structure nearly suffer someone. Know exist animal father.,"May, Miller and Garcia",Retail,Proposal,5471,Won,1/20/2024,Completed,Google,Nauru,6,8/25/2022,12/17/2023,61
190,Stephanie Moreno,https://dummyimage.com/398x28,vandrews@example.net,001-400-625-4171x430,That support pick idea. Whole behavior treat something. Could rule should apply treat.,"Smith, Vasquez and White",Retail,Opportunity,14215,Won,1/11/2024,Ongoing,Yahoo,Argentina,3,5/24/2021,12/7/2023,29
191,Jeremy Smith,https://picsum.photos/250/311,kathleen02@example.org,(657)655-0579x1787,Fast situation past often. Financial base radio enter arm its collection.,Turner LLC,Healthcare,Opportunity,45078,Lost,1/24/2024,Completed,Website,Saint Barthelemy,10,7/16/2021,12/21/2023,27
192,Kirk Gomez,https://dummyimage.com/829x651,jared61@example.com,(536)260-6221x049,Culture free job clear. Behind point item miss authority.,Powell-Williams,Retail,Opportunity,11175,Lost,1/26/2024,Completed,Google,Cote d'Ivoire,9,12/17/2022,12/4/2023,27
193,Deborah Schaefer,https://picsum.photos/892/853,barbaramueller@example.net,001-756-920-6493x11385,Room same road church reveal. Western become situation drive. Body sign southern hope instead.,Swanson-Grimes,Healthcare,Lead,75528,Won,1/23/2024,Completed,Yahoo,Sudan,10,6/19/2023,12/13/2023,31
194,Amy Myers,https://picsum.photos/618/897,austin57@example.net,(201)291-5065,Despite small from free these anyone artist. Ago fill each business likely mean. You part at.,Turner-Smith,Technology,Proposal,13281,Lost,12/31/2023,Completed,X,Cyprus,7,7/10/2023,12/3/2023,43
195,Mike Schmidt,https://placekitten.com/90/436,debra18@example.org,621.590.4420x4291,Woman bar candidate job her. He our these seven. Value style movie front stand a.,Rodriguez and Sons,Finance,Lead,81925,Lost,1/24/2024,Completed,Other,Bhutan,10,8/2/2022,12/7/2023,93
