First Name,Last Name,Email,Phone Number,Company Name,Industry,Lead Source,Lead Status,Lead Score,Created Date,Opportunity Amount,Opportunity Stage,Probability of Close,Age,Gender,Location,Product Interest,Last Interaction Date,Contract Type,Contract Start Date,Contract End Date,Monthly Revenue,Support Tickets Open,Support Tickets Closed,Last Email Sent Date,Last Phone Call Date,Last Meeting Date,Email Thread,Notes,Comments
Joseph,Page,richardcook@example.net,323-486-2932x936,"Simmons, Carter and Mitchell",Manufacturing,Referral,Qualified,30,2022-02-02,18708,Proposal,0.4938294021857569,72,Male,Bellville,Product A,2023-10-03,Custom,2022-07-15,2023-07-01,5262,0,0,2023-05-20,2023-12-30,2024-02-08,['Outside collection want our happy. Poor must book character writer you. Dog long consumer probably since her.'],['Attorney fast issue hit. Service read message individual so no guess. Rule culture that world although write.'],['Identify three not.']
Kerry,Gaines,stevejohnson@example.com,403.841.3724x129,"Schaefer, Price and Taylor",Technology,Referral,Qualified,1,2021-04-14,72514,Needs Analysis,0.8672864696424116,79,Female,Katherineberg,Product C,2023-11-24,Service Agreement,2022-02-18,2023-02-19,8677,10,8,2023-12-03,2023-07-30,2023-06-18,['Like though population around million learn. Region sign simply real father.'],"['Race realize enjoy him. Hundred baby their summer a. Lawyer up board it. Condition speak special take production behind key.', 'Campaign job peace war example end.', 'Next nearly us bank. Long see likely society quite play identify. Anything many environmental magazine every produce several order.']",['Return street economic charge part. Point development not western oil.']
Michelle,Davis,meyerchelsea@example.com,372.881.9988x585,Sanders Ltd,Finance,Website,Qualified,66,2022-01-18,67747,Negotiation,0.9691812868311475,43,Female,Fergusonfort,Product D,2023-03-09,Service Agreement,2022-07-02,2024-01-12,1404,3,3,2023-06-25,2023-06-26,2023-12-18,"['Blood fill walk represent. Tough rise wait deal response allow.', 'Southern themselves number which bit pattern. Evidence list wall stage almost upon vote. Near little about important there start herself. Three local word compare black study professor.', 'Instead artist child city. Drop rock hand lose.']","['Everything today member thank not fight issue. Black tell money standard right then.', 'Take car difficult home north. Capital report make growth event six.']","['Conference report attack society wife future. Grow themselves serious six serve including.', 'Same current relationship world somebody side. Beyond policy show up miss main myself.', 'Himself artist a different consider herself. No century hot small affect situation shake. Present budget art exactly of.']"
Rachel,Cooper,jstanley@example.org,001-253-217-8892x33101,Lutz-Norris,Finance,Website,Qualified,94,2020-11-12,59955,Prospecting,0.9754312710680199,19,Male,South Anthony,Product A,2023-11-02,Subscription,2022-07-03,2023-11-16,9960,5,2,2023-06-10,2023-05-13,2023-12-12,"['Generation find third moment attorney. Stock air someone. Prove certainly turn item act small.', 'Art chance pattern development she important. Than particularly feeling night care other.']","['Culture against whole live become road girl. Natural clear them. Yes meeting message find store.', 'Check light value. Above approach level support maintain administration politics.', 'Camera go body put.']",['Discuss become toward friend its toward art. Around treat student candidate various seat.']
Greg,Gray,joy51@example.net,+1-459-787-5773x3581,"Mcdonald, Pham and Wu",Technology,Cold Call,Qualified,97,2022-06-20,1408,Negotiation,0.7846542362116776,34,Male,North Cynthiaborough,Product A,2023-12-16,Custom,2022-06-11,2023-03-10,5906,0,0,2023-07-31,2023-11-02,2023-03-30,"['Wall we blue suggest. Site activity lawyer bar. Our Democrat series strong next.', 'Far poor attention instead appear. Century interview seat. Particularly than whole his leg agreement page.']","['Also fight understand painting collection success fire. Difficult his girl there reveal left. Subject official military forget author court.', 'Open drug hundred form attorney author represent.', 'Fire discover certain begin manage which. Commercial sound apply suffer there environment. Few thank religious resource report.']","['Itself form information rate cup now we. Also total various near give. Population foot stand better reveal pull pick toward.', 'Sing finally you follow happen. Democrat operation keep rise. Interesting four drug foreign off talk. Better read challenge.']"
Sara,Ray,cheryl21@example.net,274-879-9265x79913,"Park, Bell and Lowe",Technology,Referral,Qualified,89,2023-04-11,72594,Closed Lost,0.19790223095527848,68,Female,Port Brianna,Product B,2023-12-06,Subscription,2022-12-10,2023-03-17,7576,8,0,2023-10-18,2023-03-05,2023-04-11,"['Special small keep according. Cover eight usually visit performance region. Group nothing amount purpose special.', 'Turn grow join. Important effort now sit.', 'Draw consumer black less itself. Particular reflect movie health relate responsibility page. Under difference community center order system.']",['Before wear prevent can. Step daughter describe. Line throughout medical.'],"['Me quality data believe whom reality white tree. Recognize sign up among military happy same. Alone use wait.', 'Appear that modern.', 'Federal fill form traditional human list wide. Position relate state kid.']"
Kevin,Newman,craig60@example.com,+1-626-548-6043x1368,"Cox, Herman and Owens",Manufacturing,Referral,Qualified,14,2021-03-02,61347,Closed Won,0.589257196632933,71,Male,Karenside,Product B,2024-01-08,Custom,2022-03-25,2023-02-25,218,7,7,2023-12-20,2023-11-08,2023-09-01,"['Understand relationship look believe then. Meet safe call however station front four. Actually wear argue above but. Expert win name nothing top start perform.', 'Situation section edge school education. Sound also politics good nearly.']",['Course fire spring student white country list ready. Pull Republican common but challenge scene rock only.'],['Able source also. Force office north almost evidence. Time other have professional role inside system.']
Cynthia,Williams,alexandra62@example.org,968.434.7535x3873,Price and Sons,Retail,Social Media,Lost,49,2021-04-07,58406,Qualification,0.5878753761416254,51,Male,Rachelberg,Product C,2023-11-12,One-time Purchase,2021-03-23,2023-09-13,4429,6,4,2024-01-30,2023-10-06,2024-02-05,['Develop family TV mind take.'],['Decade traditional generation people. Talk happy oil quickly name ability.'],"['Over science near form. Expert his finish capital. Despite skill TV.', 'Serious agree dog control. Society know single.']"
Casey,Lambert,brianbass@example.org,433-638-1424x3140,Edwards and Sons,Technology,Website,Lost,48,2020-09-07,86199,Negotiation,0.30135149844703457,53,Female,South Tiffany,Product D,2023-03-22,Service Agreement,2022-01-26,2023-11-30,2649,10,3,2024-01-09,2023-05-05,2023-04-06,"['Pass Congress we civil manage. Ahead several month.', 'Contain play job attack son early.', 'Yes surface herself group pretty. Stand year behind hour them artist.']","['Include hand only street. Accept later drop receive power sign.', 'Trade throw house inside now everyone ahead. Behind democratic employee environment value type third later.', 'Action get same too paper son fund. Laugh step environment per daughter across whom pay. Industry growth friend thing scene then.']",['Expect fish apply seek discover. Choose general really tonight leg very meeting.']
Ashley,Austin,angela44@example.com,001-609-499-6017x37966,Cunningham-Harmon,Finance,Website,Qualified,81,2023-09-14,5405,Closed Won,0.8637083837224006,78,Male,East Jeanne,Product C,2023-04-01,One-time Purchase,2022-09-04,2024-02-04,6285,3,0,2023-10-28,2023-10-07,2023-07-18,"['While difficult discussion standard. Give set so memory. Man alone this.', 'Side share political adult arm fund. Style occur hear write difference through I.', 'Lose his beat green we. Film within put strong tend. Change trial identify business official about by people.']","['Week kind science reflect.', 'Science knowledge care bill notice at. Capital do evening play. Ball first word real.']","['Half leave general control father dog. Blue between clear TV beautiful thank value. Son tend risk nearly piece.', 'Develop great ago music. Member will clearly important bring ready. Position military laugh doctor strategy rest.', 'Follow customer of movement. Keep mission tell.']"
Morgan,Morgan,toddanthony@example.net,+1-917-950-3523x2106,"Orr, Gonzales and Molina",Healthcare,Referral,Qualified,53,2021-07-28,76302,Needs Analysis,0.2503782247454629,35,Male,Lake Patricia,Product A,2023-07-25,Service Agreement,2021-09-01,2023-11-16,6872,3,0,2023-07-21,2023-11-04,2023-05-31,['Sit decide especially different special. Born relate effect language but.'],"['Indicate attack quality view how list position. Check lose key them under resource team.', 'Out best office simple difference break call. Suffer expect table will how former cut. Medical option live body quite.', 'Than Congress time campaign determine science. Team stand music game write send. Sport represent hand spend dinner next.']",['Rock manage yeah manager majority huge.']
Aimee,Ellis,henrymckenzie@example.net,001-920-436-6537x403,"Ward, Rodriguez and David",Retail,Cold Call,New,62,2021-02-10,77363,Negotiation,0.4550210222590799,68,Female,Thomasview,Product A,2023-02-28,One-time Purchase,2022-10-16,2023-12-31,7761,9,2,2023-04-08,2023-05-01,2023-04-18,"['Well senior myself mind notice. Executive sense them because. Owner room hit present. Though but a whatever.', 'Become between how. Standard both upon image large former.', 'Able other action owner tell goal ok. Trouble language college popular. Party poor create goal use.']","['Student fly answer food event. Theory two than Democrat.', 'Operation despite play physical reach include according describe. Now actually and stop quickly station. Raise join appear us watch.', 'Decade quickly language realize soon bar fine. Hotel society serve choose.']","['Effect firm similar help. Show none day easy decision. Time street land person edge. Serve other station accept building recently need.', 'Position significant short soon within loss two. Relate whether pattern score protect. He fire treat a kind.']"
Joel,Nguyen,yreese@example.net,634.237.1730x411,Herrera and Sons,Finance,Social Media,Qualified,51,2021-01-09,68438,Prospecting,0.7754061005938502,74,Female,Kristyfurt,Product B,2023-06-22,One-time Purchase,2021-05-09,2023-10-29,1932,2,0,2023-10-02,2023-04-23,2023-10-23,"['Whatever country research question full score memory. Throw affect against billion mind authority former move. Series sit because store somebody.', 'Address arrive must something nation. Choose detail a off recent what seven. Base investment get push easy off difference. Meeting age level present guy likely executive.', 'Million help more treat conference girl discussion early. Mind her over cup culture yard.']",['Improve improve fish standard government think. Expect difficult return world.'],"['Less street dream together itself could. Evening research machine full tonight rock.', 'Paper black within ahead executive. Around often since different could.']"
Brittney,Baker,racheljones@example.com,+1-579-501-8799x319,Ramirez-Woods,Healthcare,Social Media,Qualified,65,2020-08-23,74248,Needs Analysis,0.21685232643213925,74,Female,Westview,Product D,2023-06-19,Service Agreement,2022-02-24,2023-06-03,9446,9,1,2023-06-13,2023-08-05,2023-07-07,"['Develop under consider direction compare citizen. Production adult score agreement establish small. Actually produce interest million.', 'As standard plan management. For rather my lose car.', 'Size its mean treat region should. Trip participant follow night she.']","['Society choose turn image. Through ten able eight. Thousand admit wrong commercial attention consider happen. Term seek partner bring less player purpose particularly.', 'Left laugh century choose reduce thousand. Property provide movie young official usually any red.', 'Could town seven teach toward how. Behind relate simple they at little. Financial year PM baby room animal.']","['Growth answer of walk throughout nice election. Affect film field car conference. Onto specific dinner during head rest company.', 'Indicate gas decide upon on. Organization air affect growth mind school.']"
Bradley,Brown,michaeljones@example.net,7842728199,Aguirre and Sons,Finance,Referral,Contacted,74,2022-05-31,40450,Closed Lost,0.19883254898467562,55,Female,Port Jorge,Product B,2023-05-26,One-time Purchase,2022-12-24,2023-08-29,5029,5,2,2023-08-17,2024-01-08,2023-02-24,['Explain appear involve you can cut. Rule training fight sign hit word. Consumer stop late go.'],"['Country enter against wide maybe never performance side. Arm bar really west lose suggest skin.', 'Feel through quality around want idea. After suggest eye sound civil. Win not method against peace seem wait. College technology single house glass four action.']",['Suddenly model life believe. Alone born special.']
Melissa,Baxter,singhryan@example.org,231.932.6624x649,Carr-Shelton,Technology,Website,Lost,5,2022-05-29,16705,Negotiation,0.4954766948299649,50,Male,Smithside,Product A,2023-06-23,One-time Purchase,2021-05-03,2023-11-07,4317,5,0,2023-12-03,2023-04-15,2023-07-09,['Color matter detail important role near age. Hit eye heart television successful hope.'],"['Fine thought build interest base wonder case. Whose product world begin newspaper citizen think.', 'Knowledge pretty young cost line. Respond begin number be. Force education there until in produce.']","['Game issue cell project weight body tough. Language evidence never hit bad.', 'Building especially sound land. Increase challenge section line travel back do treatment.', 'Conference yard Democrat forget rich. Recognize just myself Congress process. Strong common life whole. How newspaper just assume a change.']"
Emily,Lowe,xnguyen@example.com,357.982.5706x598,Gordon-Murphy,Finance,Social Media,Lost,42,2023-06-06,15273,Closed Lost,0.27894143261919446,20,Male,Kathystad,Product C,2024-02-06,Service Agreement,2021-07-29,2023-07-16,7416,0,0,2023-05-30,2024-01-26,2023-10-31,['Town right however language. Suffer along anything company consider.'],"['Give nor someone city similar short. Stop bring town impact address talk. Billion leg receive themselves this north.', 'Half save less response leg above set. It style room sure special husband mind. Already send system should.']","['Difficult leg question point play. Probably spring foot work.', 'Body because player tree. Trouble dinner artist method.', 'Picture structure sea energy. Production large policy consumer. Bring I street owner it experience.']"
Nancy,Ramirez,steelejames@example.org,240-590-6414,"Drake, Goodwin and Aguilar",Finance,Website,Qualified,95,2020-05-24,6448,Qualification,0.5472656527667772,80,Male,Lake Courtney,Product B,2023-09-07,Service Agreement,2021-09-23,2023-12-07,7907,8,0,2023-05-29,2023-07-07,2023-07-12,"['Knowledge reality recognize vote. Material magazine affect different candidate. Mission form father phone road friend. Forget factor somebody.', 'Our American hospital final. Woman director start put. Design on still itself message by.', 'Form hour once better imagine national artist moment. With be financial shake. Shake interview whose scientist get.']",['Past space both truth staff bring. Majority forget lawyer business shoulder fear power size. Space available agree also oil close responsibility.'],"['Simply line parent another hundred. Society approach prove call seat. Civil save left. Real general guy Democrat age available.', 'Clearly success suffer brother talk mind rise type. Budget service occur history store keep similar.', 'Smile box say commercial. Real tend them officer these environmental star. Event cover understand threat money data pull bank.']"
Heather,Oneal,rjenkins@example.net,(924)569-1198x640,"Davidson, Flores and Fuller",Retail,Website,Contacted,70,2020-07-31,40868,Qualification,0.14010280353373705,52,Female,Reidview,Product D,2023-03-10,One-time Purchase,2021-06-06,2023-11-01,648,1,0,2023-07-06,2023-12-30,2023-08-08,"['Account order tend on bank international hard. Whether of later deal.', 'Source study condition evening common meet. Study mother ok our. Region office create guess tell environment.']",['Majority effort six whose.'],"['Expert determine environmental service military director. Father table statement eat research mouth I show. Smile be thought last. Recently family allow act success charge.', 'Way suffer artist along civil.']"
Jane,Mendoza,jessica43@example.com,795-757-8280x54662,"Green, Arroyo and Hill",Technology,Cold Call,Lost,48,2021-09-28,20403,Prospecting,0.12549015971604183,71,Female,East Robert,Product C,2023-06-20,Service Agreement,2022-12-08,2023-09-15,9309,5,3,2023-08-28,2023-10-15,2023-10-05,['Investment size century. Truth medical entire popular treatment seek out. Hit commercial near mention range. Marriage wind thought I.'],"['Hear fine final break modern hear responsibility. Through admit none war beyond. Artist issue discuss exactly pull here. Personal several civil you green.', 'Recent defense early college our over artist positive.']","['Off arrive throw senior plant until increase. Might off college eat media group fire. Quickly customer before go firm team music mother.', 'Day western improve audience report. Level news easy PM part order wish. Both until decade improve.']"
Jared,Price,millerkristy@example.net,(431)519-0527,Smith-Miller,Healthcare,Website,Lost,20,2020-06-10,8469,Closed Lost,0.9794112269613982,74,Male,New Howardchester,Product C,2023-11-12,One-time Purchase,2021-10-01,2023-03-06,3685,3,0,2023-12-22,2024-02-02,2023-10-08,['Beat yes oil structure president election another everybody. Team government debate on us amount wall.'],"['Air who career because oil behavior worker great. Indeed condition degree property.', 'Quickly theory forget. Baby sort impact ground dream.', 'Behind purpose food result similar grow describe read. Cup design on mission.']","['Population administration soon require. Raise seat they us even former seven painting. Hit certain reach defense follow plan.', 'Like stock beat fact already. Institution me follow own gas.', 'Throw control call more day computer according measure. Specific detail economy staff quite usually people news.']"
Michael,Farmer,mclaughlinmark@example.org,+1-493-840-6583x74726,Walker PLC,Manufacturing,Cold Call,Contacted,43,2024-01-28,96255,Negotiation,0.544706008722763,79,Male,Danielleview,Product D,2023-07-08,Subscription,2021-05-05,2023-05-22,165,3,1,2023-09-15,2023-06-28,2023-08-18,"['Down bed they event operation simple understand. Anyone hot century glass arrive treatment. Respond guess activity commercial.', 'They think article television. Political recent assume include end such get soon.', 'Because their society reduce arrive. Enter fear grow simple maybe item. Summer simply sometimes war not. Identify picture pick half during win.']",['Degree interview all box position. Third win sort discuss type.'],"['Artist town around wide land. Short traditional policy. If name field forget note place receive.', 'Able politics step several. Crime dinner list rich. Look table if study somebody message article.']"
Rebecca,Patel,angelarussell@example.com,001-954-954-6812x8791,Ford-Mitchell,Technology,Website,Qualified,60,2020-09-08,12710,Closed Won,0.6483016104423336,35,Male,Jasonton,Product B,2024-02-10,Subscription,2021-04-16,2023-05-08,4057,1,1,2023-06-12,2023-04-10,2024-01-05,['Role attention nor else arm. Actually watch and adult happen fight.'],"['Crime matter majority nature. Last day many.', 'Develop conference nice above level production. Ability security war there company religious thus.', 'Look Mr it defense wish strong sign. Dark I central be technology table. Also pattern phone also give list need.']",['Number easy include just hundred attack.']
Andrew,Norton,rebeccalynch@example.org,(846)390-7665,Gutierrez Group,Technology,Social Media,Lost,64,2022-10-01,50180,Qualification,0.5913228968435076,52,Female,North Jamiefurt,Product C,2023-11-29,One-time Purchase,2021-05-08,2023-10-16,8436,6,3,2023-04-24,2024-01-04,2023-04-24,"['Just green opportunity. Option cup high person.', 'Science should simply something language. Level enter newspaper blue. Sure run many hear. Leader people main improve like concern.', 'Modern ok politics worker. American of part color.']","['Sound yard become especially language third. Ground human guy consumer.', 'Center seven fish less under ahead model. Amount big you within your. She very give everyone month begin government.', 'Across direction also specific here. Effort tonight manage himself apply drop. Reduce sister stuff green test ten road.']","['Loss continue radio difference available read. Good training summer offer little space inside.', 'This road voice know. Expect party available reduce administration two bad. Can other source blood lay.', 'Tell one material our. Loss product successful daughter shake mother term area.']"
Kimberly,Turner,patrick27@example.org,001-502-602-4187x3782,Wells-Holland,Technology,Social Media,Qualified,63,2020-11-13,49028,Closed Won,0.9559293813044488,19,Female,Lake Adam,Product B,2024-02-09,Service Agreement,2022-06-26,2024-01-03,5216,2,0,2023-04-29,2023-07-22,2023-06-04,"['Upon increase move five news baby. Great ask hundred.', 'Spring play result specific operation add. Writer board to others finish begin tough increase.']","['Evening imagine recent market data medical. Several yeah exist name conference there. Hand across instead role east.', 'Friend agree position improve exactly. Clear today husband.', 'Beat imagine low day a. Practice huge never reflect. Recognize upon peace writer memory any fear special. Maybe suggest kitchen clear usually fire.']",['Local address southern risk picture benefit receive.']
Jerry,Riley,frenchwilliam@example.net,704-604-3115,"Cook, Sherman and Larsen",Retail,Website,Lost,29,2021-10-27,22137,Proposal,0.48265044535289436,32,Female,Jacobsonberg,Product A,2023-10-17,One-time Purchase,2021-08-06,2023-04-29,4429,6,5,2024-01-20,2023-10-06,2024-01-26,['Two trip whom list. Great health brother family west impact.'],['East contain everyone which.'],"['Picture approach keep good sort ball color much. Act lose artist after look what doctor. Outside success drug important add statement arrive. Run couple before particularly theory.', 'Manager successful ground. Class one good in loss government. Class while run pull fire order relationship.', 'Hold boy turn second central true sell night. Question list especially star weight however stop. Raise adult service perhaps hope. Daughter particular enjoy west low.']"
Belinda,Villarreal,jimmy83@example.com,001-490-332-9265x30967,Simmons-Garcia,Healthcare,Website,Qualified,59,2023-08-14,79688,Negotiation,0.7144482458366539,64,Female,South Lauren,Product C,2023-04-06,Service Agreement,2022-06-27,2023-05-22,1021,4,1,2023-06-01,2023-06-02,2023-08-04,"['Left car say science decision special future. Bag popular down stuff. Cup PM admit bit specific.', 'Truth career event food ball. As they day throw nothing.']","['Step first trip hair each. Language body hair clearly. City food later challenge parent.', 'Open carry fund weight treatment toward authority. General catch produce road seek measure federal develop.', 'Final long foreign seven true wonder decision drive. Table chance series figure still.']","['Major blue until affect son cause will. Skill over market firm open.', 'Seek mother kind. Sense rise unit.', 'Five consumer voice way hundred. Factor single into eat piece.']"
Andrew,Davis,stephaniesmith@example.org,5983608992,"Irwin, Walker and Smith",Manufacturing,Referral,Lost,14,2023-07-19,78256,Prospecting,0.5694011611047419,22,Female,Robertmouth,Product B,2023-06-30,Subscription,2021-11-11,2023-04-10,7880,1,1,2023-02-23,2023-03-06,2023-09-09,['This himself woman contain process product. Democratic shake dinner father professional.'],['Upon special information interest. Pm cultural war total low and.'],['Factor concern forward to able. Field among own order. Go trial health national live care upon future.']
Joseph,Rivera,gutierrezstephen@example.org,+1-364-717-3488x991,White and Sons,Retail,Cold Call,Contacted,24,2020-06-28,40177,Closed Lost,0.983796537430246,76,Male,New Daniel,Product C,2023-09-14,One-time Purchase,2022-03-27,2024-01-06,8117,10,4,2023-08-07,2024-01-09,2024-02-09,"['Others would national surface official. Democratic assume might. Program reality actually coach difficult.', 'One bad raise former war. Short stage today test. Very also full picture hour. See ask describe seven present produce understand.']",['Probably instead computer already.'],"['Difficult realize social tend newspaper. Mouth performance clear seek talk far. Clearly sell state yes middle particular start defense.', 'Do service imagine road create authority. Learn road out week glass their outside.', 'Song even region growth might I later word. Improve direction industry administration race money.']"
Charles,Clark,achavez@example.com,001-640-868-2278x3227,"Williams, Woods and Woodward",Finance,Website,Qualified,21,2020-01-06,21646,Closed Lost,0.1365444553199442,33,Female,Lake Andrewburgh,Product B,2024-01-14,One-time Purchase,2022-03-21,2023-11-11,2748,4,1,2023-03-25,2024-01-03,2023-06-19,"['View turn worker these buy green. Four add look know.', 'Something hope determine suddenly. Artist or however. Foot call single animal meet meet.']","['Onto range support oil concern again range. Surface where adult leg.', 'Chair son determine value like president. Yourself control particular response cost store. Care entire the chair choice.']","['Around but well billion.', 'Lose throughout street drop. Item tough challenge police detail myself.']"
Matthew,Guerra,adouglas@example.net,+1-275-741-9495x918,"Miller, Smith and Rivera",Retail,Referral,Lost,26,2023-01-03,30090,Closed Lost,0.5805077520193171,48,Male,Jenkinsfort,Product D,2023-11-10,Service Agreement,2022-12-17,2023-10-05,761,2,2,2023-12-25,2024-01-09,2023-10-11,"['Well painting past product we cause. Seem writer third movement on improve travel.', 'Idea next eye section any. Popular decision minute. Wind government structure soon field painting both body. Prevent common goal else person truth generation.', 'Worry born fight. On difference before from security today realize.']","['Mouth finally all social then phone. Place possible consumer color stand memory national. Risk wife under center appear many.', 'Health lawyer pressure fight into tree. Always range brother system former. Less building real arrive.', 'Today owner prepare call consumer. Nor finally buy executive.']","['Matter interest free hand pass everyone resource. Play argue sit kid perhaps white. Statement member tough include air.', 'Leader almost them sport. Hospital machine couple war baby physical effect. Personal look current option case local national.']"
Stephanie,Mitchell,jonathonmyers@example.com,+1-471-773-6846,Thomas-Riley,Retail,Website,New,77,2021-06-09,86235,Closed Lost,0.5207176096027928,23,Female,Port Nathanberg,Product D,2023-02-21,Subscription,2022-11-27,2024-02-06,5070,8,7,2023-11-08,2023-10-07,2023-08-19,"['Lead practice door act key those. Serious network laugh professor heart environmental water.', 'Term TV pressure. Entire theory scene type. Central senior maintain.']","['Trade consider season community property police nice fine.', 'Person health wind. Raise activity remain.']",['Large affect quickly political. Decide sound writer election establish her. Role population tax give kid worry.']
Nicole,Williams,ijohnson@example.net,+1-498-659-1218x653,Chang-Taylor,Finance,Website,Lost,75,2023-03-08,27699,Negotiation,0.3660980430808749,23,Female,Hillport,Product D,2023-05-16,One-time Purchase,2022-10-18,2024-01-18,7182,5,4,2024-01-13,2023-04-04,2023-07-05,['Example against voice full. Laugh magazine item life night myself hit.'],"['Memory both purpose mention citizen color everything. Glass stuff because.', 'Military upon positive dog color dark until ground. Pressure sing mouth story seat.', 'How include ok theory full.']","['Tv bed career by inside simple mouth. Character ability recently financial.', 'Movement fast financial far glass cell condition evening. Manage eight already.', 'Image home economy fight great.']"
Stephen,Morgan,taylormark@example.com,676-809-6659x43660,"Jackson, Carey and Vasquez",Finance,Website,Contacted,50,2023-07-16,27393,Closed Lost,0.954157571210335,75,Female,Shieldsfort,Product C,2023-06-20,Subscription,2021-07-25,2023-11-03,9767,8,2,2023-08-27,2023-04-05,2024-02-03,['International team recently attack my over a. Prove half as sometimes such interesting.'],"['Laugh teach upon begin bad certainly. Do serve nothing read hit.', 'Recently put job letter college rock. None meeting away court natural but. Everybody air officer herself easy thought. Order actually interview executive.']","['President successful modern nothing reality line discuss. Teach national still writer ask property. Guess most throw.', 'Stand husband watch prevent chair movie. Measure role field third record power. Market choose medical sing pick argue stuff. Scientist raise assume trouble.']"
Heather,Williams,taylorcarrie@example.org,784.490.9770x5441,Gardner Inc,Finance,Website,Qualified,68,2022-07-19,71783,Closed Lost,0.3214607219324769,79,Male,Oneillfort,Product B,2023-02-21,Subscription,2021-06-12,2023-12-30,9845,6,0,2023-03-08,2024-02-12,2023-05-22,"['Meeting fast economic such score nothing begin.', 'Population heavy trade approach. Down challenge note education as hour.']",['Skin do military expert dark fire. Only building article trial laugh guess. Yet middle else culture own public mention.'],['Short stand you word they work.']
Marcia,Cox,sarahsimmons@example.org,(836)227-3285x32813,Hopkins PLC,Healthcare,Referral,Lost,49,2021-11-15,83466,Needs Analysis,0.8487990812473899,71,Female,East Ann,Product B,2023-10-11,Service Agreement,2022-11-21,2023-09-11,2725,6,2,2023-04-18,2023-07-29,2023-06-17,"['End source provide state participant fill. Seat matter argue product son network.', 'Certainly need weight perhaps. Build answer level allow enjoy. Brother charge media six.', 'Yet crime show game likely. Rather where paper state. Experience indeed strategy little others value safe.']","['Final though agency key drop trial. Manage anyone media across.', 'Child history assume wall today piece let. Majority thought friend must go institution.', 'Loss win series continue majority best impact nice. Worry southern final within performance federal. Stand theory day board happy.']","['Body decide public reason career wide road. Song trouble sister home laugh. Modern figure policy specific business question level.', 'Woman without before describe. Form decision create agent still. Also chair offer amount.']"
Connor,Peters,williamjohnson@example.org,971.673.3265x11521,White LLC,Retail,Website,Lost,64,2020-10-21,56632,Negotiation,0.19505822320700428,24,Male,Sotomouth,Product A,2023-10-26,One-time Purchase,2022-08-17,2023-02-21,4541,0,0,2023-09-06,2023-05-15,2023-06-25,"['Doctor mind step speech party expert everything. Pay against party almost total activity.', 'Bar soon which realize like way serve. Direction day if rate.']","['Almost thank serve source. Provide over deep movie top free food.', 'Rise important particularly scene public next garden. Feel wall member rule difficult food. Serious though wife sound. Leg agree three trade position doctor wall.']","['Seek line put game add. Administration mind occur time serious president rest game.', 'Get floor possible better cause. Street could exactly both arrive prepare.']"
Michael,Simon,sandra85@example.net,(768)304-6490,"Green, Hampton and Farrell",Retail,Website,New,58,2020-03-21,19893,Qualification,0.3347847334959637,77,Male,Walkerfort,Product D,2023-08-31,One-time Purchase,2022-11-28,2023-07-14,4316,7,3,2023-08-04,2023-11-12,2023-06-15,['Cover more particular possible happen level. Treatment return three type within kid.'],"['Heart maybe test phone popular child. Too current fund Republican left yeah.', 'Surface letter table rather bank. Himself than near rich safe home type.']","['Stay author building bit section common sure. Yourself future tonight. Baby later building blood although decade culture. Blood game available generation.', 'Hope commercial large staff range strong. Education garden guess. Front evening history important part student what able.']"
Kayla,Lambert,ubowman@example.com,351.630.5324x0105,Williamson-Joseph,Manufacturing,Social Media,Lost,68,2021-12-15,60401,Negotiation,0.984086041139375,79,Female,Port Christine,Product A,2024-02-04,Service Agreement,2021-03-20,2023-12-25,4294,6,5,2023-04-23,2023-04-23,2023-08-18,"['List black land charge public mind five customer. Control day watch bit country individual board. Role party including eat line. Event care crime send produce rest.', 'Ago book party talk. Watch professional police. Since second fill.']","['International plant wonder bed war force. Room only agent glass doctor better east.', 'Population gas industry year computer. Staff now often network. Memory south ready indeed both.', 'Serve it wait risk society. Language still administration let his history study. True employee common behavior house the.']","['Billion major claim suffer close. Too discuss total blood who daughter. Fall current main. Cause likely card receive.', 'Small a picture and allow majority.']"
Robert,Rowe,donnaramirez@example.org,(814)503-6872x32882,"Barnes, Harding and Riggs",Technology,Website,Lost,10,2020-12-18,45928,Proposal,0.39723573107074894,72,Female,Matthewtown,Product C,2023-07-06,One-time Purchase,2022-06-01,2023-11-11,3059,8,7,2023-10-08,2023-10-06,2024-01-26,"['Year bank central role. Order evening question discuss sure simple serious.', 'Pretty risk beautiful both. Save change reach idea realize.', 'Bed to meet head including. Nation my past by pressure baby page use. Daughter occur sure ready top fly.']","['Charge race attorney born notice show score. Crime student well could item return. Describe or rich analysis before cut spend.', 'Treatment interest help show. Stuff west bank with human.']","['Key mean decade now top near. Improve director just I choice person allow.', 'Shake open action these wife. Yes process situation.']"
Joshua,Wade,kathleennovak@example.net,+1-293-495-5676x8473,Ware-Smith,Retail,Referral,Contacted,98,2022-12-04,73707,Negotiation,0.27376091449562745,26,Female,Harrisstad,Product A,2023-12-06,Subscription,2022-05-18,2023-08-25,1264,9,5,2023-09-06,2023-11-18,2023-02-27,"['Wall image international amount. People a job fill seem free discussion. Impact usually according cultural whole peace.', 'Star energy author draw senior. Car represent thing use.']",['Seem TV message hospital. Body similar artist see offer.'],['Education law agreement suggest economic grow. Effect air which list indeed television.']
